SSP;DSP;SGE;ANG;DI
PI;AD;SG;PI;DI
patio;patio;patio;patio;patio
IPE;AD;IPE;AD;PM
DI;SGE;ANG;AD;PM
patio;patio;patio;patio;patio
DI;SGE;PS;PM;PI
ANG;DI;PS;PM;IPE
